bin2_Pz	bin2_CPz	bin2_Cz	bin4_Pz	bin4_CPz	bin4_Cz	bin6_Pz	bin6_CPz	bin6_Cz	bin11_Pz	bin11_CPz	bin11_Cz	bin12_Pz	bin12_CPz	bin12_Cz	bin13_Pz	bin13_CPz	bin13_Cz	bin14_Pz	bin14_CPz	bin14_Cz	      ERPset
    -8.182	    -4.325	    -6.797	    -6.777	    -3.466	    -5.375	    -8.728	    -5.001	    -7.095	    -6.189	    -3.564	    -4.868	    -7.340	    -3.372	    -5.861	    -5.467	    -3.478	    -4.499	   -10.750	    -5.127	    -8.972	Tax_Them002_N400_erp_ar
     4.801	     4.099	     7.971	     7.392	     6.994	    10.601	     2.444	     2.178	     6.319	     8.328	     7.803	    10.993	     6.492	     6.218	    10.224	     4.791	     3.976	     7.508	     4.811	     4.219	     8.422	Tax_Them003_N400_erp_ar
     6.919	     4.525	     5.790	     9.467	     7.300	     8.633	     5.875	     3.876	     4.928	    10.723	     8.795	    10.150	     8.232	     5.827	     7.140	     8.079	     6.449	     7.659	     5.821	     2.705	     4.023	Tax_Them004_N400_erp_ar
     0.133	     1.844	     0.371	     1.310	     2.481	     1.246	     0.128	     1.602	     0.180	     1.336	     2.216	     1.223	     1.286	     2.721	     1.266	    -0.286	     1.196	     0.444	     0.510	     2.427	     0.306	Tax_Them006_N400_erp_ar
     1.757	     1.840	     1.120	     2.834	     2.702	     1.495	    -3.031	    -3.065	    -4.040	     1.998	     1.760	    -0.058	     3.716	     3.696	     3.131	     1.784	     1.915	     0.727	     1.727	     1.762	     1.534	Tax_Them007_N400_erp_ar
     0.012	     0.046	     0.000	     0.656	     1.149	     1.694	    -0.970	     0.222	     0.033	     0.713	     1.960	     2.208	     0.601	     0.374	     1.203	     2.134	     0.909	     1.386	    -2.228	    -0.866	    -1.463	Tax_Them008_N400_erp_ar
     0.415	     2.439	     1.241	     5.003	     5.257	     5.038	     3.721	     3.498	     3.890	     5.678	     6.407	     6.095	     4.279	     4.026	     3.905	    -0.542	     1.844	     0.397	     1.426	     3.067	     2.133	Tax_Them009_N400_erp_ar
    10.870	     9.262	    13.665	    11.457	    10.411	    14.460	     7.617	     6.371	    11.470	    13.022	    12.084	    15.855	     9.915	     8.762	    13.084	    11.654	     9.980	    14.497	    10.108	     8.562	    12.855	Tax_Them010_N400_erp_ar
     9.490	     6.431	     9.263	     9.017	     5.294	     8.349	     5.096	     3.168	     6.215	     8.416	     4.857	     8.429	     9.627	     5.738	     8.269	    10.219	     6.427	    10.278	     8.761	     6.435	     8.249	Tax_Them011_N400_erp_ar
     5.194	     5.660	     5.731	     4.114	     3.984	     5.026	     1.356	     2.193	     1.754	     7.723	     6.101	     7.547	    -0.290	     1.401	     1.950	     6.294	     7.675	     7.283	     4.094	     3.645	     4.179	Tax_Them012_N400_erp_ar
     1.776	     1.470	     4.200	    -0.375	    -0.672	     1.858	    -1.671	    -2.279	     1.686	     0.924	     0.259	     2.844	    -1.730	    -1.643	     0.830	     0.451	    -0.102	     3.258	     3.102	     3.041	     5.142	Tax_Them013_N400_erp_ar
    -0.069	     0.754	    -1.332	     1.570	     1.494	    -1.163	     1.789	     0.830	    -0.270	     0.026	     2.015	    -1.094	     3.302	     0.910	    -1.241	    -1.684	     0.454	    -2.896	     1.547	     1.053	     0.232	Tax_Them014_N400_erp_ar
