bin2_Pz	bin2_P3	bin2_POz	bin4_Pz	bin4_P3	bin4_POz	bin6_Pz	bin6_P3	bin6_POz	bin11_Pz	bin11_P3	bin11_POz	bin12_Pz	bin12_P3	bin12_POz	bin13_Pz	bin13_P3	bin13_POz	bin14_Pz	bin14_P3	bin14_POz	      ERPset
    -8.049	    -3.781	    -6.156	    -5.458	    -2.019	    -3.522	   -10.160	    -6.087	    -7.717	    -5.143	    -2.290	    -3.318	    -5.760	    -1.759	    -3.716	    -5.663	    -3.095	    -4.185	   -10.305	    -4.431	    -8.021	Tax_Them002_N400_erp_ar
     5.550	     4.701	     8.678	     7.710	     7.372	    10.841	     3.144	     2.716	     6.998	     8.447	     7.968	    10.978	     7.002	     6.801	    10.709	     5.254	     4.200	     7.885	     5.838	     5.188	     9.451	Tax_Them003_N400_erp_ar
     6.116	     3.519	     5.040	     8.391	     6.254	     7.953	     4.746	     2.588	     4.213	     9.592	     7.624	     9.277	     7.209	     4.906	     6.651	     6.848	     4.938	     6.350	     5.384	     2.099	     3.729	Tax_Them004_N400_erp_ar
     0.019	     1.794	     0.339	     1.525	     2.660	     1.547	    -0.112	     1.381	    -0.050	     1.407	     2.292	     1.486	     1.631	     2.993	     1.602	    -0.450	     0.986	     0.316	     0.440	     2.521	     0.360	Tax_Them006_N400_erp_ar
     2.828	     2.927	     2.940	     3.705	     3.661	     3.260	    -2.812	    -2.732	    -3.113	     2.724	     2.616	     1.700	     4.738	     4.762	     4.904	     3.077	     3.003	     2.435	     2.567	     2.847	     3.472	Tax_Them007_N400_erp_ar
     0.754	     0.062	     0.379	     1.430	     1.669	     2.431	    -1.215	    -0.280	    -0.325	     1.158	     2.449	     2.922	     1.690	     0.925	     1.963	     2.459	     0.884	     1.704	    -1.044	    -0.805	    -1.019	Tax_Them008_N400_erp_ar
     1.116	     2.920	     1.612	     5.714	     5.656	     5.742	     3.217	     2.868	     3.567	     5.815	     6.217	     6.181	     5.607	     5.054	     5.271	     0.579	     2.587	     0.853	     1.653	     3.252	     2.372	Tax_Them009_N400_erp_ar
    11.515	     9.979	    14.105	    11.455	    10.627	    14.408	     7.578	     6.474	    11.378	    13.348	    12.513	    16.277	     9.782	     8.959	    12.756	    12.652	    10.978	    15.195	    10.438	     9.032	    13.071	Tax_Them010_N400_erp_ar
     7.476	     5.324	     7.302	     7.684	     4.716	     7.510	     2.972	     1.994	     4.225	     7.460	     4.369	     8.161	     7.885	     5.027	     6.927	     7.043	     4.601	     6.944	     7.836	     5.926	     7.601	Tax_Them011_N400_erp_ar
     5.193	     5.418	     6.036	     4.510	     4.170	     5.563	     0.530	     1.379	     1.257	     7.711	     6.099	     7.708	     0.526	     1.768	     2.893	     6.945	     7.597	     7.915	     3.390	     3.176	     4.103	Tax_Them012_N400_erp_ar
